Price,Bedrooms,Bathrooms,SqFt,City,State,Year_Built,Type,Garage,Lot_Area
1336765,4,2,1925,Brisbane,SA,1999,Townhouse,1,8057
1197655,3,3,1230,Perth,QLD,2003,Townhouse,0,8034
304479,5,1,3355,Melbourne,NSW,1950,Apartment,1,4085
1455928,5,2,975,Sydney,VIC,2018,Apartment,0,5950
666540,2,3,2044,Adelaide,VIC,1982,Townhouse,1,9997
1994100,4,3,2650,Sydney,VIC,1974,Apartment,1,2076
1683509,1,2,1540,Brisbane,NSW,1997,House,1,4737
323408,2,3,3768,Sydney,VIC,1983,Townhouse,0,5746
484208,3,1,3282,Perth,QLD,1988,Apartment,1,6488
1248848,3,2,1186,Melbourne,VIC,2020,Apartment,0,2388
1566419,2,2,1424,Adelaide,QLD,1983,Apartment,0,4225
1680538,3,2,3071,Melbourne,VIC,2006,Townhouse,1,2087
1962529,2,2,3524,Brisbane,WA,1970,House,1,6941
1023653,2,3,818,Sydney,WA,2006,House,1,8280
155004,2,3,1711,Brisbane,QLD,1999,Townhouse,0,2664
190734,1,2,3074,Adelaide,WA,1983,House,0,9496
1782276,4,1,2617,Brisbane,VIC,2009,House,1,2421
1130955,1,3,2338,Adelaide,NSW,2009,Apartment,1,9636
985926,2,2,1212,Melbourne,VIC,2000,Apartment,0,5725
581103,2,2,1584,Adelaide,WA,1975,Apartment,0,6937
1481585,4,3,1507,Melbourne,WA,2021,Townhouse,1,8077
1971270,5,2,3586,Melbourne,VIC,1963,Townhouse,1,6819
747682,1,3,2821,Melbourne,VIC,1990,House,1,4056
590975,2,1,2723,Perth,WA,2009,Apartment,0,6269
309720,4,1,932,Perth,VIC,1996,House,1,2849
997874,5,3,2936,Sydney,VIC,1969,House,0,9539
859934,1,1,3553,Perth,QLD,2019,House,1,1065
1334505,5,2,1030,Brisbane,WA,2004,Townhouse,0,9606
1935557,1,2,3459,Adelaide,WA,1966,House,1,5059
1714157,1,2,2593,Melbourne,QLD,2022,Apartment,0,6780
1234650,2,3,1638,Perth,QLD,2017,Townhouse,1,8247
1785364,2,2,3681,Melbourne,VIC,1994,House,0,3168
952491,5,1,2627,Adelaide,VIC,2018,House,1,9865
166029,2,2,1983,Sydney,SA,2022,Townhouse,0,5051
1065724,2,3,2233,Sydney,QLD,2018,Townhouse,0,5555
403403,1,1,3506,Adelaide,VIC,2007,House,0,3833
471402,5,3,3478,Melbourne,WA,1953,Apartment,0,1454
559041,4,2,2142,Sydney,QLD,2002,House,1,6692
399293,4,3,2339,Sydney,SA,2002,Apartment,0,7555
1135068,1,2,1041,Melbourne,SA,1965,Townhouse,1,6511
1101444,5,1,882,Brisbane,VIC,1966,Apartment,0,9978
721103,5,3,1783,Sydney,SA,1999,House,0,1533
1742958,3,3,3382,Sydney,SA,2022,House,0,3264
1182226,3,1,2955,Brisbane,WA,2009,Apartment,0,7212
282051,5,2,2574,Adelaide,VIC,1984,Apartment,0,3722
1133269,4,1,813,Perth,QLD,1951,Apartment,0,8414
985917,4,2,1710,Adelaide,NSW,1994,Apartment,1,4291
1265388,2,1,1894,Perth,QLD,2017,Apartment,1,5223
674940,1,3,3508,Adelaide,SA,2003,House,0,8859
1242323,1,2,2533,Perth,SA,2018,House,1,3126
1950963,1,2,840,Perth,SA,2007,Townhouse,0,5334
1064113,4,3,3008,Adelaide,VIC,1985,House,1,5734
308515,5,3,2384,Sydney,SA,1964,Townhouse,1,5796
1924500,2,2,3384,Adelaide,NSW,1969,House,0,6746
1596758,4,2,2758,Perth,QLD,2002,House,0,2818
729686,4,1,836,Adelaide,VIC,1959,Townhouse,1,3606
927267,2,3,3445,Sydney,SA,1972,House,1,7474
919442,2,1,2017,Sydney,NSW,1954,Townhouse,1,4098
938066,3,3,3053,Perth,SA,1955,Townhouse,1,1749
182582,5,1,1450,Melbourne,WA,1959,Apartment,0,1356
719077,5,1,2669,Brisbane,SA,1954,Townhouse,0,6780
1173216,4,3,3627,Melbourne,NSW,1956,Townhouse,0,1716
290534,4,3,3677,Sydney,VIC,1971,Townhouse,1,1155
1587707,1,2,2694,Adelaide,WA,2012,Apartment,1,3956
766581,2,1,1510,Perth,WA,2016,Apartment,1,3012
137296,5,3,3219,Melbourne,QLD,1972,Townhouse,0,2240
1559537,5,3,1124,Sydney,WA,2016,Townhouse,1,1016
1552736,2,2,3888,Perth,NSW,1977,Townhouse,1,4424
1597649,3,2,3578,Melbourne,VIC,2004,House,0,2235
1372458,3,3,3350,Brisbane,SA,1963,Townhouse,1,1032
823773,1,3,3829,Sydney,SA,2015,House,0,9305
681688,4,1,1751,Perth,SA,2008,House,1,8048
1850634,3,2,3627,Sydney,WA,1957,Townhouse,0,2612
766986,3,2,3086,Melbourne,VIC,2004,Townhouse,1,9834
1723500,4,2,2128,Adelaide,NSW,1983,Townhouse,1,8719
650187,1,2,1243,Brisbane,NSW,1951,Apartment,1,1761
1205731,4,1,2689,Adelaide,QLD,1999,House,1,1518
313354,1,2,3235,Adelaide,QLD,1954,House,1,8189
1670329,2,2,2170,Melbourne,NSW,1962,Apartment,1,1755
1912077,1,1,3390,Brisbane,VIC,1966,Apartment,0,5075
1659103,1,2,3349,Melbourne,QLD,2007,Townhouse,1,5023
1568959,2,2,3984,Adelaide,QLD,2003,House,0,6376
1945671,2,2,2643,Adelaide,SA,2002,Townhouse,0,8113
1209135,5,1,1220,Melbourne,NSW,1981,House,0,5942
632519,1,1,3065,Adelaide,NSW,1959,House,0,5081
1809521,2,1,1397,Adelaide,SA,1956,Apartment,1,2885
288584,2,1,1190,Adelaide,NSW,1993,Townhouse,0,6720
1239053,2,1,2164,Brisbane,WA,1973,Townhouse,1,1772
450391,2,1,3795,Sydney,NSW,2020,Apartment,1,8270
1531855,5,1,1701,Brisbane,SA,1955,House,0,8205
1159095,5,3,1749,Melbourne,VIC,1959,Apartment,0,3378
1177545,2,2,2463,Perth,NSW,1991,Townhouse,1,7223
1041922,1,2,2374,Perth,SA,1955,Townhouse,1,2240
944045,3,3,3160,Perth,VIC,1989,House,1,8136
827218,4,1,3035,Adelaide,QLD,1981,Townhouse,0,5173
626270,3,1,3884,Adelaide,WA,2016,Townhouse,1,8467
1537009,2,2,1547,Perth,VIC,1960,House,0,5004
946370,3,3,1918,Adelaide,QLD,2016,Townhouse,1,8065
134372,1,1,2295,Adelaide,WA,1981,House,0,8081
365362,4,2,3193,Sydney,VIC,2018,Apartment,0,3014
655472,1,1,2301,Adelaide,NSW,2000,Townhouse,0,5058
1518637,2,1,1225,Adelaide,VIC,1953,Apartment,1,2604
567987,3,2,3641,Sydney,SA,2014,House,0,6350
1299402,5,2,1639,Brisbane,WA,1959,Apartment,1,9292
1381044,2,3,2613,Perth,WA,2010,Apartment,1,9371
169305,4,1,3442,Perth,WA,2009,Townhouse,1,2679
1494787,3,1,1528,Melbourne,NSW,1979,Apartment,1,3144
662021,5,2,899,Perth,QLD,2015,Apartment,1,1005
1549750,3,3,3580,Adelaide,WA,1983,Apartment,0,1573
940742,2,2,1101,Melbourne,WA,1969,Townhouse,1,3633
688179,1,2,2704,Melbourne,WA,1985,Townhouse,0,2306
1739814,2,1,2232,Brisbane,SA,2018,Apartment,1,3356
1857564,2,1,2038,Sydney,SA,1959,Apartment,1,1339
1918577,5,2,2033,Sydney,QLD,1971,House,1,8274
1083940,3,1,1387,Perth,SA,1958,Apartment,1,5336
1387504,1,2,3941,Sydney,SA,1950,Apartment,0,3988
855627,2,3,1313,Perth,SA,1973,Townhouse,1,7105
1733454,5,3,3885,Perth,QLD,1980,Apartment,1,6742
1163489,5,3,3581,Adelaide,SA,1974,Townhouse,1,3581
557514,3,3,1708,Adelaide,WA,1991,Townhouse,1,5915
1980088,1,1,1242,Sydney,WA,1968,Apartment,1,8998
1078562,4,1,1693,Adelaide,VIC,1988,House,1,2453
373479,4,2,3424,Sydney,WA,2020,Townhouse,0,8642
449332,5,3,2695,Brisbane,NSW,2010,Townhouse,0,1762
1249547,5,2,3157,Sydney,SA,1984,Townhouse,0,3501
1465411,3,3,2039,Adelaide,WA,1963,Apartment,0,7639
860231,3,3,2063,Adelaide,WA,1977,Apartment,0,3839
1276634,1,1,2213,Sydney,WA,1986,House,1,3914
1852006,4,1,1688,Sydney,WA,1978,Townhouse,0,5209
460869,5,1,1763,Brisbane,SA,2017,Townhouse,1,2608
827133,4,1,3931,Adelaide,SA,1968,Townhouse,0,2023
1949404,2,2,838,Perth,WA,2006,House,0,6192
1388096,5,1,844,Brisbane,QLD,1999,Townhouse,1,9506
158197,1,3,1701,Melbourne,VIC,2003,Apartment,0,8451
1020591,3,1,3517,Melbourne,WA,1994,Townhouse,0,5011
1372610,4,3,3451,Perth,SA,1971,House,0,9771
1202772,3,2,2129,Melbourne,SA,2011,Townhouse,0,1771
989869,5,3,831,Melbourne,NSW,2000,Apartment,1,4731
232480,5,1,1202,Perth,NSW,1999,House,0,5560
1702482,5,2,3472,Perth,WA,1982,House,0,7276
1575894,3,3,1723,Melbourne,SA,1974,House,1,3251
1063911,5,2,3859,Sydney,VIC,1997,Apartment,1,2316
139888,4,3,2287,Melbourne,WA,1987,House,0,9489
1276540,5,3,3797,Adelaide,SA,2020,House,0,2697
1500092,5,3,3497,Adelaide,SA,2011,Apartment,1,2721
677609,4,3,3998,Brisbane,VIC,2004,Townhouse,0,3319
703790,4,2,1696,Sydney,SA,1973,Apartment,1,1695
1508480,4,2,2300,Brisbane,NSW,1954,House,1,8934
1214226,2,2,1716,Sydney,WA,1979,Apartment,0,9910
857668,1,2,1174,Melbourne,NSW,1954,Townhouse,1,5337
1303377,2,2,1610,Melbourne,SA,2010,Apartment,1,9647
1651258,5,3,3959,Brisbane,QLD,2005,House,1,1909
1896198,3,2,1619,Brisbane,NSW,1956,House,0,7497
1276146,2,1,1627,Perth,SA,1972,Apartment,0,5947
242000,1,1,1677,Adelaide,WA,1952,House,1,1960
282473,2,1,3827,Adelaide,SA,2007,Townhouse,0,7620
1984617,2,3,1907,Perth,QLD,1952,Townhouse,1,2805
908720,2,3,1226,Adelaide,NSW,2006,Apartment,0,7372
635393,3,3,3509,Adelaide,QLD,1965,House,1,5436
581396,1,2,3329,Melbourne,NSW,2000,Townhouse,1,3596
314055,1,2,1810,Brisbane,SA,1964,Apartment,1,4829
1630122,1,1,1251,Melbourne,WA,1986,Apartment,0,7011
1507135,4,1,844,Perth,VIC,2009,Apartment,0,5889
1354252,5,3,1301,Perth,WA,2000,Apartment,0,7305
1497681,3,2,3041,Sydney,WA,1976,House,0,9594
1969642,2,2,1685,Melbourne,QLD,1968,Townhouse,0,8723
1989872,1,3,1231,Melbourne,WA,2018,Townhouse,1,5479
986438,5,1,947,Sydney,WA,2011,House,1,5997
869798,5,1,2097,Melbourne,NSW,1966,Townhouse,0,5911
1269204,1,2,3731,Sydney,NSW,1981,Apartment,0,2322
905494,1,3,1955,Perth,WA,1983,Townhouse,1,3376
1494358,4,3,3884,Adelaide,WA,1963,Townhouse,1,2215
1861541,1,3,2317,Perth,QLD,1986,Townhouse,0,8418
927906,1,1,2952,Adelaide,SA,2019,House,1,8850
122823,5,3,1490,Sydney,SA,2015,House,0,3120
783450,5,2,2872,Perth,QLD,2018,Townhouse,1,8997
1699743,1,3,2058,Perth,WA,1992,House,0,4042
854511,2,2,2874,Perth,NSW,1991,Townhouse,0,1548
385040,4,2,2622,Brisbane,SA,1960,Townhouse,0,8460
181449,1,1,2883,Adelaide,SA,2007,House,0,3288
1232519,5,3,3029,Sydney,NSW,1951,House,0,1517
1565333,1,2,2842,Melbourne,WA,1966,House,1,6371
244413,3,2,3026,Adelaide,SA,2014,Apartment,1,7196
1325268,2,3,3966,Brisbane,WA,2018,Townhouse,1,2216
796272,3,3,982,Sydney,SA,1996,Townhouse,1,8896
798737,4,2,3880,Adelaide,WA,1973,House,0,4197
1145292,5,1,1339,Perth,QLD,1988,Apartment,1,2778
541717,4,3,1119,Perth,QLD,1986,House,0,3868
654469,4,1,3662,Brisbane,VIC,2010,House,1,1636
1317338,4,3,3664,Brisbane,QLD,1963,Townhouse,0,4506
1618047,2,2,3344,Adelaide,VIC,1989,Apartment,1,4327
1353969,4,3,1285,Sydney,QLD,1962,House,0,3294
747745,4,3,1818,Brisbane,VIC,1993,Apartment,0,5341
1597210,1,1,1996,Perth,NSW,1966,House,0,8196
283192,5,1,2505,Sydney,SA,1968,Townhouse,1,5878
1684778,5,1,1666,Brisbane,VIC,1959,Townhouse,0,7582
304141,3,1,1741,Sydney,VIC,2016,Apartment,1,4813
258821,3,2,3018,Sydney,QLD,1973,Townhouse,1,5509
791694,4,1,2324,Perth,QLD,1971,House,0,7629
940262,3,1,2275,Brisbane,QLD,2012,Apartment,1,9131
1019678,5,2,3172,Adelaide,SA,2014,Apartment,0,3021
696178,3,1,3152,Brisbane,VIC,2022,Apartment,1,6123
1895096,4,2,2989,Perth,QLD,1971,Townhouse,0,5679
436972,3,2,1932,Brisbane,WA,1958,Apartment,0,1836
341085,2,2,2752,Melbourne,WA,1999,House,1,3236
1982171,3,1,1485,Sydney,VIC,1970,Townhouse,1,2369
604694,4,3,945,Perth,WA,1976,Townhouse,0,1526
636720,2,3,3076,Adelaide,NSW,1981,House,1,3919
1749543,3,1,2611,Brisbane,SA,1959,House,0,1309
1725311,2,1,1789,Adelaide,NSW,2007,Townhouse,0,1312
1561505,4,2,2561,Melbourne,VIC,2018,Townhouse,1,4382
573283,5,1,1093,Perth,QLD,2014,Apartment,0,6807
1579789,4,3,2138,Melbourne,VIC,2004,Townhouse,0,6723
1845435,4,2,3187,Adelaide,VIC,2000,Apartment,1,8021
1499824,2,2,3976,Perth,QLD,1953,Apartment,1,1071
1659465,5,2,3601,Melbourne,VIC,1991,Townhouse,0,6833
1198866,1,1,1430,Perth,NSW,1959,Apartment,0,8048
1287154,1,3,2601,Sydney,NSW,1973,Apartment,1,4809
469069,2,1,3063,Brisbane,NSW,1968,Townhouse,1,9091
170857,2,2,2799,Melbourne,NSW,2022,Townhouse,0,2273
1497793,2,2,945,Melbourne,WA,1996,Apartment,1,5236
515337,2,1,3842,Adelaide,WA,1965,Apartment,0,8544
1427339,2,2,3742,Sydney,WA,2015,Apartment,1,9324
488879,1,1,3557,Sydney,VIC,1996,House,1,8039
1695680,5,1,1263,Brisbane,SA,1986,House,1,8197
206826,3,1,1596,Perth,NSW,1981,Townhouse,1,4731
484745,3,2,3301,Brisbane,SA,2002,Apartment,1,5963
1617517,3,1,2198,Perth,WA,1983,Apartment,1,4709
616493,1,2,2366,Adelaide,VIC,1959,House,0,3596
1635922,3,1,3315,Sydney,VIC,1989,House,0,7915
709877,4,3,3041,Sydney,NSW,1985,Apartment,1,5454
1293839,4,3,2542,Melbourne,SA,1984,Townhouse,0,6660
267081,2,3,2946,Sydney,VIC,2015,Townhouse,1,3038
1051600,3,2,1574,Sydney,NSW,1976,House,0,5058
1311536,5,1,2841,Adelaide,WA,2020,Apartment,0,1767
1643239,4,2,1113,Perth,NSW,1988,Townhouse,0,6944
1972667,3,2,3129,Melbourne,NSW,2002,Townhouse,0,7643
439634,1,3,1565,Melbourne,QLD,2002,Apartment,0,8692
1503376,2,2,1285,Brisbane,VIC,1987,House,1,9572
301059,5,1,3084,Melbourne,VIC,1990,House,1,8768
213838,5,2,1878,Brisbane,QLD,1979,Apartment,0,8197
1046867,5,2,1215,Melbourne,QLD,1977,House,0,1396
1156375,2,2,1393,Melbourne,QLD,2016,Townhouse,1,4635
216352,4,2,2070,Brisbane,SA,1952,Apartment,1,9605
1778396,3,3,3472,Adelaide,NSW,1970,Townhouse,1,7862
1396711,4,2,2369,Perth,QLD,2019,Townhouse,1,2051
1689123,5,1,3430,Perth,QLD,1972,House,0,7226
751061,2,1,1403,Melbourne,NSW,1967,House,1,7929
1585661,2,3,2954,Perth,VIC,2011,Townhouse,1,9359
1169886,4,3,2668,Sydney,WA,2016,Apartment,1,7372
1932019,5,3,1867,Melbourne,NSW,2008,Townhouse,1,8795
504466,4,2,2108,Perth,NSW,1990,House,1,3811
